#  tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)
1.340000e+00  4.020594e-03  -2.619480e-03  -7.556830e-04  -2.523932e-04  -1.023708e-03  -2.054431e-04  6.455418e-02  -4.371996e-02  6.200029e-02  -4.257625e-02  6.178870e-02  -4.286332e-02  9.163508e-03  3.431886e-02  8.492174e-03  3.501452e-02  8.264307e-03  3.575202e-02
1.355000e+00  3.963481e-03  -2.762834e-03  -8.149342e-04  -2.787279e-04  -1.093898e-03  -2.277024e-04  6.136371e-02  -4.562623e-02  5.862112e-02  -4.440002e-02  5.832843e-02  -4.466445e-02  9.874536e-03  3.215113e-02  9.226623e-03  3.294033e-02  9.026573e-03  3.367759e-02
1.370000e+00  3.838441e-03  -2.905232e-03  -9.272951e-04  -3.046554e-04  -1.212934e-03  -2.550579e-04  5.853541e-02  -4.873592e-02  5.564812e-02  -4.736351e-02  5.532970e-02  -4.766913e-02  8.771467e-03  2.963506e-02  8.152557e-03  3.046561e-02  8.006876e-03  3.119174e-02
1.385000e+00  3.632199e-03  -3.010465e-03  -1.062078e-03  -3.094294e-04  -1.348554e-03  -2.543753e-04  5.600199e-02  -5.088901e-02  5.313836e-02  -4.944628e-02  5.286054e-02  -4.974518e-02  7.914814e-03  2.849614e-02  7.214926e-03  2.935695e-02  7.130736e-03  3.009673e-02
1.400000e+00  3.455083e-03  -3.147378e-03  -1.132044e-03  -3.480859e-04  -1.418080e-03  -2.909249e-04  5.295941e-02  -5.293369e-02  5.001683e-02  -5.146453e-02  4.973892e-02  -5.174118e-02  9.173856e-03  2.825706e-02  8.490773e-03  2.915565e-02  8.458886e-03  2.989257e-02
1.415000e+00  3.264868e-03  -3.221161e-03  -1.213593e-03  -3.054172e-04  -1.502011e-03  -2.411567e-04  4.927213e-02  -5.505916e-02  4.624513e-02  -5.353947e-02  4.598382e-02  -5.385736e-02  1.027338e-02  2.765503e-02  9.474193e-03  2.855363e-02  9.468218e-03  2.927504e-02
1.430000e+00  3.086024e-03  -3.261908e-03  -1.255584e-03  -2.971088e-04  -1.542749e-03  -2.324712e-04  4.575333e-02  -5.675510e-02  4.264245e-02  -5.526253e-02  4.238615e-02  -5.562503e-02  1.076268e-02  2.708030e-02  9.788809e-03  2.793453e-02  9.799889e-03  2.864341e-02
1.445000e+00  2.978448e-03  -3.394197e-03  -1.241115e-03  -3.480900e-04  -1.523811e-03  -2.861733e-04  4.265403e-02  -5.885293e-02  3.947513e-02  -5.736281e-02  3.920251e-02  -5.773032e-02  1.130178e-02  2.700805e-02  1.016604e-02  2.777387e-02  1.017700e-02  2.849829e-02
1.460000e+00  2.961022e-03  -3.509836e-03  -1.147806e-03  -3.613740e-04  -1.422977e-03  -2.970743e-04  3.987066e-02  -6.053617e-02  3.665594e-02  -5.898219e-02  3.631813e-02  -5.932820e-02  1.224791e-02  2.705498e-02  1.093165e-02  2.781819e-02  1.093638e-02  2.857554e-02
1.475000e+00  2.959719e-03  -3.583986e-03  -1.072080e-03  -3.515855e-04  -1.342712e-03  -2.864560e-04  3.755672e-02  -6.221154e-02  3.428739e-02  -6.062717e-02  3.387344e-02  -6.096755e-02  1.422288e-02  2.735850e-02  1.277149e-02  2.811725e-02  1.277660e-02  2.887723e-02
